TP_FAIXA_ETARIA,TP_SEXO,TP_COR_RACA,TP_NACIONALIDADE,TP_ANO_CONCLUIU,TP_ESCOLA,CO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q006
21 anos,F,Branca,Brasileiro(a),2017,Não Respondeu,4104808,41,PR,Faltou,Faltou,Faltou,Faltou,,,,,,H
20 anos,M,Branca,Brasileiro(a),2020,Não Respondeu,2106326,21,MA,Presente,Presente,Presente,Presente,362.0,413.1,451.7,504.0,340.0,B
19 anos,F,Preta,Brasileiro(a),2019,Não Respondeu,2105302,21,MA,Presente,Presente,Presente,Presente,378.7,438.3,349.8,510.0,500.0,F
Entre 31 e 35 anos,M,Parda,Brasileiro(a),Não informado,Não Respondeu,5008305,50,MS,Faltou,Faltou,Faltou,Faltou,,,,,,B
17 anos,M,Parda,Brasileiro(a),Não informado,Pública,2303709,23,CE,Faltou,Presente,Presente,Faltou,,493.7,519.6,,0.0,B
19 anos,M,Branca,Brasileiro(a),2019,Não Respondeu,3538709,35,SP,Presente,Presente,Presente,Presente,755.7,757.5,599.2,908.2,800.0,M
24 anos,F,Parda,Brasileiro(a),2014,Não Respondeu,3202405,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,,D
19 anos,F,Parda,Brasileiro(a),2019,Não Respondeu,4100400,41,PR,Faltou,Presente,Presente,Faltou,,475.6,512.3,,420.0,C
Entre 31 e 35 anos,M,Parda,Brasileiro(a),Antes de 2007,Não Respondeu,1501402,15,PA,Presente,Presente,Presente,Presente,644.8,578.6,519.2,707.3,900.0,D
17 anos,F,Parda,Brasileiro(a),Não informado,Não Respondeu,2210607,22,PI,Presente,Presente,Presente,Presente,399.8,423.8,413.0,417.1,440.0,A
21 anos,F,Branca,Brasileiro(a),2017,Não Respondeu,3550308,35,SP,Presente,Presente,Presente,Presente,520.5,499.8,412.1,542.6,620.0,L
18 anos,M,Branca,Brasileiro(a),Não informado,Privada,2304103,23,CE,Presente,Presente,Presente,Presente,441.5,452.5,522.5,448.6,740.0,I
Menor de 17 anos,F,Branca,Brasileiro(a),Não informado,Não Respondeu,2918407,29,BA,Faltou,Faltou,Faltou,Faltou,,,,,,B
20 anos,F,Preta,Brasileiro(a),2018,Não Respondeu,2304103,23,CE,Presente,Presente,Presente,Presente,518.8,537.7,561.8,538.0,780.0,B
18 anos,F,Não Declarado,Brasileiro(a),Não informado,Pública,5201108,52,GO,Presente,Presente,Presente,Presente,457.7,590.3,561.1,464.9,560.0,C
17 anos,M,Preta,Brasileiro(a),Não informado,Pública,3547304,35,SP,Presente,Presente,Presente,Presente,511.3,467.6,518.6,530.2,600.0,D
18 anos,F,Parda,Brasileiro(a),2020,Não Respondeu,1500107,15,PA,Presente,Presente,Presente,Presente,376.5,448.0,366.4,366.1,360.0,A
17 anos,F,Preta,Brasileiro(a),Não informado,Pública,1600303,16,AP,Faltou,Faltou,Faltou,Faltou,,,,,,B
24 anos,M,Parda,Brasileiro(a),2014,Não Respondeu,2604106,26,PE,Faltou,Faltou,Faltou,Faltou,,,,,,B
